DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20050101,01-Jan-05,7,Saturday,Sábado,Samedi,1,1,1,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050102,02-Jan-05,1,Sunday,Domingo,Dimanche,2,2,2,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050103,03-Jan-05,2,Monday,Lunes,Lundi,3,3,2,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050104,04-Jan-05,3,Tuesday,Martes,Mardi,4,4,2,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050105,05-Jan-05,4,Wednesday,Miércoles,Mercredi,5,5,2,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050106,06-Jan-05,5,Thursday,Jueves,Jeudi,6,6,2,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050107,07-Jan-05,6,Friday,Viernes,Vendredi,7,7,2,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050108,08-Jan-05,7,Saturday,Sábado,Samedi,8,8,2,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050109,09-Jan-05,1,Sunday,Domingo,Dimanche,9,9,3,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050110,10-Jan-05,2,Monday,Lunes,Lundi,10,10,3,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050111,11-Jan-05,3,Tuesday,Martes,Mardi,11,11,3,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050112,12-Jan-05,4,Wednesday,Miércoles,Mercredi,12,12,3,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050113,13-Jan-05,5,Thursday,Jueves,Jeudi,13,13,3,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050114,14-Jan-05,6,Friday,Viernes,Vendredi,14,14,3,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050115,15-Jan-05,7,Saturday,Sábado,Samedi,15,15,3,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050116,16-Jan-05,1,Sunday,Domingo,Dimanche,16,16,4,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050117,17-Jan-05,2,Monday,Lunes,Lundi,17,17,4,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050118,18-Jan-05,3,Tuesday,Martes,Mardi,18,18,4,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050119,19-Jan-05,4,Wednesday,Miércoles,Mercredi,19,19,4,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050120,20-Jan-05,5,Thursday,Jueves,Jeudi,20,20,4,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050121,21-Jan-05,6,Friday,Viernes,Vendredi,21,21,4,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050122,22-Jan-05,7,Saturday,Sábado,Samedi,22,22,4,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050123,23-Jan-05,1,Sunday,Domingo,Dimanche,23,23,5,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050124,24-Jan-05,2,Monday,Lunes,Lundi,24,24,5,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050125,25-Jan-05,3,Tuesday,Martes,Mardi,25,25,5,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050126,26-Jan-05,4,Wednesday,Miércoles,Mercredi,26,26,5,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050127,27-Jan-05,5,Thursday,Jueves,Jeudi,27,27,5,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050128,28-Jan-05,6,Friday,Viernes,Vendredi,28,28,5,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050129,29-Jan-05,7,Saturday,Sábado,Samedi,29,29,5,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050130,30-Jan-05,1,Sunday,Domingo,Dimanche,30,30,6,January,Enero,Janvier,1,1,2005,1,3,2005,2
