ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,LargePhoto,EnglishDescription,FrenchDescription,ChineseDescription,ArabicDescription,HebrewDescription,ThaiDescription,GermanDescription,JapaneseDescription,TurkishDescription,StartDate,EndDate,Status
1,AR-5381,,,,Adjustable Race,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
2,BA-8327,,,,Bearing Ball,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
3,BE-2349,,,,BB Ball Bearing,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
4,BE-2908,,,,Headset Ball Bearings,,,,FALSE,NA,800,600,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
5,BL-2036,,,,Blade,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
6,CA-5965,,,,LL Crankarm,,,,FALSE,Black,500,375,,,NA,,0,,,L ,,,,,,,,,,,,,01-Jun-98,,Current
7,CA-6738,,,,ML Crankarm,,,,FALSE,Black,500,375,,,NA,,0,,,M ,,,,,,,,,,,,,01-Jun-98,,Current
8,CA-7457,,,,HL Crankarm,,,,FALSE,Black,500,375,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
9,CB-2903,,,,Chainring Bolts,,,,FALSE,Silver,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
10,CN-6137,,,,Chainring Nut,,,,FALSE,Silver,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
11,CR-7833,,,,Chainring,,,,FALSE,Black,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
